Date,etf_premium,Log Return,Kimchi Premium
2024-01-12,0.001202887,-0.006317742,0.084976476
2024-01-16,0.004061738,0.018563495,0.019564119
2024-01-17,0.004113534,0.014822616,0.018519508
2024-01-18,0.000857633,-0.009074163,0.051131365
2024-01-19,-0.002932551,-0.035242802,0.023028185
2024-01-22,0.003937008,-0.002446617,0.04699374
2024-01-23,-0.001788909,-0.050650892,0.015776626
2024-01-24,-0.002647838,0.008851965,0.03030202
2024-01-25,0.003085059,0.005308751,0.031968498
2024-01-26,0.002088555,-0.003575022,0.025537294
2024-01-29,0.004887984,-0.002222088,0.007769072
2024-01-30,0.001207243,0.029164092,0.037358705
2024-01-31,-0.00450635,-0.007512437,0.037191472
2024-02-01,0.000407664,-0.009205053,0.026076682
2024-02-02,0.0,0.011771907,0.019174596
2024-02-05,0.000413565,-0.009708182,0.038790566
2024-02-06,0.00081367,0.001809938,0.03137773
2024-02-07,0.005181347,0.009975333,0.013685678
2024-02-08,0.005019305,0.028330125,0.02363507
2024-02-09,0.000737191,0.02217196,0.015796501
2024-02-12,0.006320225,0.011045636,0.005250326
2024-02-13,0.004985755,0.033717726,0.002035916
2024-02-14,0.001355473,-0.004395499,0.01857534
2024-02-15,-0.000677048,0.041017909,0.037023785
2024-02-16,0.003047748,0.002392842,0.039025881
2024-02-20,-0.000336927,-0.006669024,0.034738173
2024-02-21,0.000343997,0.009370414,0.038940933
2024-02-22,0.007457627,-0.00781163,0.050806819
2024-02-23,0.002406325,-0.010845316,0.052205944
2024-02-26,0.001609269,0.003248597,0.018509375
2024-02-27,0.002460781,0.052747992,0.035059641
2024-02-28,0.001744693,0.045623794,0.043963805
2024-02-29,0.001696833,0.090780829,0.060465386
2024-03-01,0.009537167,-0.021449618,0.051921668
2024-03-04,0.004678971,0.018127035,0.045471573
2024-03-05,-0.007028395,0.079242133,0.082746316
2024-03-06,0.000522603,-0.0693287,0.05914844
2024-03-07,-0.000258799,0.035484873,0.064003517
2024-03-08,0.002026856,0.012549395,0.07300511
2024-03-11,-0.003634601,0.00767202,0.064067296
2024-03-12,-0.000245459,0.043850462,0.079140556
2024-03-13,0.006961114,-0.008801091,0.081690704
2024-03-14,-0.002524615,0.022204677,0.083144302
2024-03-15,-0.008308157,-0.023532471,0.086593493
2024-03-18,-0.003136435,0.045723091,0.094869117
2024-03-19,-0.004880694,-0.011145742,0.118290121
2024-03-20,0.005623996,-0.087791401,0.094558499
2024-03-21,-0.000538068,0.091571017,0.09761372
2024-03-22,0.002202037,-0.035459493,0.089458867
2024-03-25,0.005704365,0.047880094,0.05933356
2024-03-26,-0.003018868,0.039898114,0.064238821
2024-03-27,0.000767263,0.00041042,0.065405804
2024-03-28,0.004218362,-0.007812673,0.057812029
2024-03-29,0.004218362,0.018657976,0.061979971
2024-04-01,0.006583945,0.023849467,0.060151908
2024-04-02,-0.000531632,-0.023123823,0.08480784
2024-04-03,0.000266454,-0.062985648,0.088321847
2024-04-04,-0.001532959,0.008172754,0.071249739
2024-04-05,-0.00492228,0.03781577,0.075302814
2024-04-08,0.001222494,0.006712333,0.052358399
2024-04-09,0.00254907,0.032228381,0.063332542
2024-04-10,0.009845998,-0.035577324,0.040855536
2024-04-11,0.003748126,0.020329184,0.048809292
2024-04-12,0.002101944,-0.00748139,0.077669768
2024-04-15,0.002779322,0.026434254,0.097358032
2024-04-16,-0.00167551,-0.035597199,0.072871455
2024-04-17,-0.000862317,0.006052508,0.082369731
2024-04-18,0.003603104,-0.040619188,0.067562874
2024-04-19,0.00218639,0.035699153,0.066566599
2024-04-22,0.003439153,-0.000645213,0.052116696
2024-04-23,-0.000527426,0.028758107,0.054436291
2024-04-24,-0.004375171,-0.006429055,0.058205228
2024-04-25,0.001358327,-0.032823686,0.044721033
2024-04-26,-0.001923605,0.003332766,0.047304838
2024-04-29,0.004480538,-0.004861352,0.036460003
2024-04-30,-0.016695958,0.011344053,0.038333891
2024-05-01,-0.01759175,-0.051920855,0.035141651
2024-05-02,0.002967359,-0.039285821,0.029626816
2024-05-03,0.006253553,0.014516807,0.04348484
2024-05-06,0.00278474,0.002240147,0.038072196
2024-05-07,-0.000556328,-0.013953688,0.04053931
2024-05-08,-0.002256063,-0.013297979,0.033223501
2024-05-09,0.002535926,-0.018479685,0.016785118
2024-05-10,0.000868307,0.030335787,0.030327287
2024-05-13,0.003624198,0.01052255,0.021936904
2024-05-14,0.001427756,0.023556705,0.029717694
2024-05-15,0.003462973,-0.021794032,0.024503699
2024-05-16,-0.000806885,0.073301303,0.033854592
2024-05-17,0.005252101,-0.015327515,0.021767142
2024-05-20,0.012154976,-0.009917598,-0.004752149
2024-05-21,-0.003785967,0.075221088,0.010823209
2024-05-22,0.002018673,-0.018411547,0.0133027
2024-05-23,-0.001825769,-0.014444797,0.019607126
2024-05-24,0.005350318,-0.01738496,0.014909518
2024-05-28,0.003862993,0.012877378,0.014209412
2024-05-29,-0.001563314,-0.015757122,0.012717228
2024-05-30,-0.002547122,-0.010535524,0.010210476
2024-05-31,0.00312256,0.011455299,0.011910836
2024-06-03,0.002287166,0.000486892,0.01774181
2024-06-04,0.001246261,0.015390983,0.004962444
2024-06-05,0.004693676,0.025118655,0.010290225
2024-06-06,-0.003968254,0.007490172,0.020041931
2024-06-07,0.00228833,-0.004503986,0.026453388
2024-06-10,-0.001513241,0.004999895,0.018299691
2024-06-11,0.003394256,-0.001897836,0.025553917
2024-06-12,-0.01283697,-0.031881488,0.03118011
2024-06-13,-0.001843561,0.013392219,0.031671009
2024-06-14,0.001342282,-0.021959827,0.032002932
2024-06-17,-0.000789266,0.006755982,0.017527183
2024-06-18,-0.000545554,-0.002344243,0.018939686
2024-06-20,0.001622499,-0.002892969,0.016490188
2024-06-21,0.003291278,-0.002001996,0.015431902
2024-06-24,-0.010840902,-0.017014572,0.024528877
2024-06-25,0.000850581,-0.04679402,0.016264767
2024-06-26,0.002599653,0.024833596,0.017762576
2024-06-27,-0.000571429,-0.016102184,0.015482408
2024-06-28,-0.005824112,0.013198071,0.021754951
2024-07-01,-0.001109878,0.029226979,0.014812321
2024-07-02,-0.001983565,0.002688944,0.012649757
2024-07-03,0.009970674,-0.013081265,0.021330257
2024-07-05,0.000621504,-0.053123822,0.037060362
2024-07-08,0.003119152,-0.042359075,0.024377307
2024-07-09,0.002128306,0.015237825,0.017531662
2024-07-10,-0.001222868,0.022756139,0.025416822
2024-07-11,-0.0021361,-0.004636715,0.032769632
2024-07-12,-0.003941783,-0.006802595,0.025151211
2024-07-15,-0.001105278,0.026112446,0.011990825
2024-07-16,0.005681818,0.064668338,0.005897374
2024-07-17,0.001359065,0.003346855,0.017115701
2024-07-18,0.001936376,-0.015053758,0.01429773
2024-07-19,0.004709576,-0.002128466,0.002482496
2024-07-22,0.008288008,0.014645946,0.004552137
2024-07-23,-0.003469442,-0.008226904,0.01319928
2024-07-24,-0.002133333,-0.025114035,0.015929037
2024-07-25,-0.000542741,-0.008578001,0.013700648
2024-07-26,0.00492228,0.00660627,0.007045934
2024-07-29,-0.000521376,0.00633848,0.017633664
2024-07-30,0.003205985,-0.021922045,0.011962878
2024-07-31,-0.008004269,-0.008985798,0.025139952
2024-08-01,0.00250139,-0.023827571,0.022028833
2024-08-02,-0.001961883,0.010407154,0.043649042
2024-08-05,0.007936508,-0.043110511,0.054360341
2024-08-06,0.002479851,-0.073857922,0.040612801
2024-08-07,-0.002239283,0.038236559,0.038153952
2024-08-08,-0.002649397,-0.01888602,0.012676285
2024-08-09,0.004354136,0.114324557,0.027860278
2024-08-12,0.000892591,-0.037212826,0.027393745
2024-08-13,0.00260492,0.010724007,0.023135933
2024-08-14,0.000596303,0.020847368,0.038145753
2024-08-15,-0.001842752,-0.03139376,0.036725434
2024-08-16,0.001471454,-0.020713871,0.031600074
2024-08-19,0.001191185,-0.017588153,0.029446642
2024-08-20,0.003550296,0.017468448,0.031837032
2024-08-21,0.009482759,-0.007618067,0.012389071
2024-08-22,0.001165841,0.035710613,0.013243516
2024-08-23,0.002763958,-0.01297269,0.005631616
2024-08-26,-0.001383509,0.002385481,0.013492494
2024-08-27,0.001698754,-0.023118105,0.03137579
2024-08-28,-0.007109005,-0.055456204,0.020996469
2024-08-29,-0.002664298,-0.007472505,0.025750773
2024-08-30,-0.005068575,0.006168744,0.016219852
2024-09-03,-0.000606061,0.030768297,0.01784964
2024-09-04,0.003340419,-0.028891042,0.014966657
2024-09-05,-0.003753519,0.009299441,0.022520705
2024-09-06,-0.002296588,-0.031570776,0.022546019
2024-09-09,0.005256648,0.012819997,-0.00538689
2024-09-10,0.005178191,0.039294735,0.001398638
2024-09-11,0.001832621,0.010123036,-0.002317003
2024-09-12,0.002411818,-0.005058387,0.004364458
2024-09-13,-0.00088054,0.013701411,-0.005035012
2024-09-16,0.000606796,-0.014557649,0.016512934
2024-09-17,-0.006410256,-0.016054815,0.018363641
2024-09-18,-0.005822416,0.035602988,-0.001088648
2024-09-19,-0.001940133,0.022621034,0.00662824
2024-09-20,0.0,0.020130174,0.002137406
2024-09-23,-0.000831716,0.003927616,0.002766453
2024-09-24,0.00770077,-0.004657168,-0.001152205
2024-09-25,-0.001110803,0.014861981,0.004277103
2024-09-26,-0.005668016,-0.017898129,0.003475078
2024-09-27,-0.00133547,0.031816582,0.011295153
2024-09-30,0.001385809,-0.004074401,0.004383006
2024-10-01,-0.001988636,-0.035632537,0.020926559
2024-10-02,-0.002912056,-0.040030225,0.018030407
2024-10-03,0.004048583,-0.003280756,0.012462428
2024-10-04,0.001409642,0.001889391,-0.002434941
2024-10-07,0.001944985,0.012009594,0.012386286
2024-10-08,0.001981319,-0.009225271,0.016286997
2024-10-09,-0.000864304,-0.00182917,0.018779584
2024-10-10,0.003250591,-0.025272255,0.010360199
2024-10-11,0.001951491,-0.005044231,-0.004162154
2024-10-15,0.004473684,0.049756087,-0.019770608
2024-10-16,0.000259269,0.015041968,-0.006607748
2024-10-17,0.0,0.008165727,-0.007754584
2024-10-18,-0.001278119,-0.002928574,-0.00462941
2024-10-21,0.003381894,0.00940916,-0.009244651
2024-10-22,0.000781657,-0.024181217,-0.001282921
2024-10-23,0.005050505,7.33e-05,0.001750495
2024-10-24,0.004912099,-0.010632832,-0.001910893
2024-10-25,-0.000263019,0.022353269,0.017265615
2024-10-28,0.001767677,0.013634569,0.001785246
2024-10-29,-0.004815796,0.028650744,0.000898911
2024-10-30,-0.000488998,0.039169572,0.008137993
2024-10-31,-0.006741573,-0.00519058,0.019283357
2024-11-01,0.002291242,-0.029617969,0.025132252
2024-11-04,-0.004424779,-0.008078509,0.016110755
2024-11-05,0.000506457,-0.013690359,0.012146136
2024-11-06,0.004862237,0.022937275,-0.025720007
2024-11-07,-0.000229305,0.086380054,-0.009515971
2024-11-08,0.00045798,0.00374378,-0.006409891
2024-11-12,0.002356175,0.097500918,0.006176138
2024-11-13,-0.00931677,-0.008452691,0.011636141
2024-11-14,-0.009559849,0.0287375,0.021229168
2024-11-15,0.006953834,-0.036508058,0.001737299
2024-11-18,0.003851338,-0.008123605,0.010226223
2024-11-19,-0.005097225,0.007891141,0.007983183
2024-11-20,0.001491424,0.019993839,0.008991328
2024-11-21,-0.000357654,0.021261819,-0.005525548
2024-11-22,-0.000530786,0.043013248,-0.015323314
2024-11-25,0.000555658,0.00271658,0.00317932
2024-11-26,-0.004620716,-0.052771333,0.005756435
2024-11-27,-0.001994922,-0.011189513,-0.003209088
2024-11-29,-0.004148629,-0.003188588,-0.008543455
2024-12-02,-0.001649258,0.008502263,-0.006585531
2024-12-03,0.002392785,-0.014668665,-0.01997826
2024-12-04,0.006601249,0.000878943,-0.009891486
2024-12-05,0.004273504,0.029043757,0.015159347
2024-12-06,-0.001554673,-0.017251224,-0.019451834
2024-12-09,-0.005632267,0.012583739,0.001448656
2024-12-10,0.002739726,-0.037397976,-0.000355427
2024-12-11,0.00017328,-0.008366978,-0.011591955
2024-12-12,0.002289135,0.045887204,0.000576071
2024-12-13,0.001903114,-0.011440506,-0.008503926
2024-12-16,-0.003475095,0.028560186,0.005484798
2024-12-17,0.002641572,0.016324185,0.020051636
2024-12-18,-0.007808433,0.000909641,0.021969196
2024-12-19,-0.002733734,-0.058167455,0.05247973
2024-12-20,-0.004901961,-0.027193813,0.043260895
2024-12-23,0.002084913,-0.022169641,0.038169313
2024-12-24,0.013153153,-0.003994094,0.019116633
2024-12-26,-0.000552181,0.006938306,0.024879693
2024-12-27,0.000186324,-0.037077186,0.026004605
2024-12-30,-0.002978961,-0.017049168,0.009117406
2024-12-31,-0.004690432,-0.009493001,0.012577887
2025-01-02,-0.001262626,0.010674279,0.009449492
2025-01-03,-0.000714286,0.025563085,0.001936374
2025-01-06,0.001549587,0.000784794,0.002671448
2025-01-07,0.0,0.039233838,0.030989042
2025-01-08,-0.00243127,-0.053602558,0.027034931
2025-01-09,-0.00243127,-0.019453326,0.03614075
2025-01-10,-0.002778292,-0.027261505,0.020067882
2025-01-13,0.011402509,-0.000965258,0.022787745
2025-01-14,-0.000728996,0.000204365,0.019178534
2025-01-15,-0.004394445,0.021248928,0.007014831
2025-01-16,-0.000700158,0.040451419,0.00374351
2025-01-17,-0.004009355,-0.005336272,0.005383074
2025-01-21,-0.003134796,0.008118255,0.031003342
2025-01-22,0.000336927,0.039546013,0.042023004
2025-01-23,-0.011600538,-0.024036106,0.042677074
2025-01-24,-0.003006012,0.003018586,0.049714998
2025-01-27,0.010159397,-0.02054656,0.06019606
2025-01-28,-0.006556246,-0.004793686,0.063391184
2025-01-29,0.003891051,-0.007660754,0.059599599
2025-01-30,-0.004334778,0.02323443,0.049757843
2025-01-31,-0.003797687,0.009972904,0.052457728
2025-02-03,-0.004150813,-0.029768951,0.060721263
2025-02-04,0.00071314,0.037564299,0.088988274
2025-02-05,-0.001984127,-0.035502763,0.09002255
2025-02-06,0.004739336,-0.013057845,0.086717176
2025-02-07,-0.003840527,-0.000447373,0.072315006
2025-02-10,0.000361272,5.29e-06,0.044532109
2025-02-11,0.000369754,0.010048523,0.052519864
2025-02-12,-0.00199023,-0.01769581,0.035864437
2025-02-13,0.002380516,0.021951707,0.047542565
2025-02-14,-0.005571531,-0.012836597,0.043310727
2025-02-18,0.000748083,-0.004220643,0.043174928
2025-02-19,-0.001826484,-0.002374513,0.034383004
2025-02-20,0.000357015,0.011434729,0.032447277
2025-02-21,-0.003327172,0.017317735,0.040554184
2025-02-24,-0.003172826,-0.003171912,0.015973745
2025-02-25,-0.001596488,-0.050448051,0.014103483
2025-02-26,0.00947169,-0.031901006,0.025992854
2025-02-27,0.002116402,-0.052664209,0.011499786
2025-02-28,0.002721373,0.006282968,0.004590581
2025-03-03,0.003488611,0.091370521,0.048439047
2025-03-04,-0.012989608,-0.090711395,0.016092378
2025-03-05,0.004295197,0.013209032,0.025327851
2025-03-06,0.00118624,0.038041877,0.027627029
2025-03-07,-0.00762899,-0.007626968,0.03940758
2025-03-10,0.006499328,-0.065885431,0.028219701
2025-03-11,-0.000634652,-0.026524564,0.014032722
2025-03-12,0.002125399,0.053310589,0.014931531
2025-03-13,-0.005027322,0.010138833,0.022333747
2025-03-14,0.000415628,-0.03190064,0.014901149
2025-03-17,0.00062461,-0.021061701,0.009648828
2025-03-18,0.004290925,0.017509736,0.009611054
2025-03-19,0.00144211,-0.015857107,-0.002524326
2025-03-20,0.000627353,0.048942338,0.012868402
2025-03-21,-0.000419111,-0.031495479,0.011659531
2025-03-24,-0.000199243,0.026421835,0.005414198
2025-03-25,0.001998401,0.016734391,0.009522347
2025-03-26,0.002854812,-0.000390435,0.00715229
2025-03-27,-0.003024803,-0.006515942,0.007676878
2025-03-28,0.0,0.003225257,0.012263339
2025-03-31,-0.007421544,-0.003321609,0.016242838
2025-04-01,-0.000413907,0.002340764,0.008019975
2025-04-02,0.006313646,0.031655786,0.02376089
2025-04-03,-0.000858185,-0.032187605,0.014512722
2025-04-04,-0.00167399,0.007434538,0.00594318
2025-04-07,-0.006061967,-0.063379994,0.013139852
2025-04-08,-0.000229358,0.010362571,0.017758159
2025-04-09,0.002139953,-0.037597141,0.003898491
2025-04-10,-0.000442576,0.079480018,0.027673264
2025-04-11,0.001260239,-0.036854033,0.021418674
2025-04-14,-0.000620989,-0.018623085,0.023810587
2025-04-15,-0.000628009,0.010025466,0.027760906
2025-04-16,0.003767267,-0.010960203,0.027718684
2025-04-17,0.001452584,0.004796117,0.016183383
2025-04-18,0.001452584,0.010436512,0.017681975
2025-04-21,0.003430878,0.000963332,0.014880725
2025-04-22,0.001345895,0.027218504,-0.004744303
2025-04-23,0.002449595,0.065770121,0.001734908
2025-04-24,0.002258186,0.002522261,-0.000495704
2025-04-25,0.003327787,0.002792635,0.004040683
2025-04-28,0.001114827,-0.009321525,0.000836065
2025-04-29,0.00073828,0.012883085,0.011188729
2025-04-30,0.002059925,-0.007642113,0.012223035
2025-05-01,0.000910747,-0.000727605,0.004450673
2025-05-02,0.000906783,0.024130013,0.023547881
2025-05-05,-0.002418155,-0.016648353,0.032529676
2025-05-06,-0.000740604,0.004394309,0.025063112
2025-05-07,-0.000182849,0.02182944,0.013724806
2025-05-08,0.002086957,0.002312483,-0.009780437
2025-05-09,0.001194743,0.061744776,0.001955342
2025-05-12,0.000691563,-0.006082243,-0.006255834
2025-05-13,0.00336587,-0.012599911,-0.011712015
2025-05-14,-0.001190274,0.012827675,-0.001611586
2025-05-15,0.002391936,-0.005801363,0.00412231
2025-05-16,0.003900288,0.001979359,0.011136233
2025-05-19,0.004016736,0.031171519,0.011891156
2025-05-20,0.008610697,-0.007570627,0.005570467
2025-05-21,0.010796663,0.011144883,0.009292071
2025-05-22,-0.002366677,0.026447478,0.001364597
2025-05-23,-0.000969462,0.018555353,0.026951381
